
DECIMAL       HEXADECIMAL     DESCRIPTION
--------------------------------------------------------------------------------
8873928       0x8767C8        Zlib compressed data, compressed
8874580       0x876A54        Zlib compressed data, compressed
8875232       0x876CE0        Zlib compressed data, compressed
8875904       0x876F80        Zlib compressed data, compressed
8876572       0x87721C        Zlib compressed data, compressed
8877064       0x877408        Zlib compressed data, compressed
8877636       0x877644        Zlib compressed data, compressed
8877828       0x877704        Zlib compressed data, compressed
8878480       0x877990        Zlib compressed data, compressed
8879132       0x877C1C        Zlib compressed data, compressed
8879784       0x877EA8        Zlib compressed data, compressed
8880436       0x878134        Zlib compressed data, compressed
8881036       0x87838C        JFFS2 filesystem, little endian
8882840       0x878A98        Zlib compressed data, compressed
8882964       0x878B14        JFFS2 filesystem, little endian
9306112       0x8E0000        Linux kernel ARM boot executable zImage (little-endian)
9320583       0x8E3887        xz compressed data
9320804       0x8E3964        xz compressed data
11010048      0xA80000        Squashfs filesystem, little endian, version 4.0, compression:xz, size: 2806880 bytes, 380 inodes, blocksize: 524288 bytes, created: 2018-07-06 10:57:07
14876672      0xE30000        Squashfs filesystem, little endian, version 4.0, compression:xz, size: 1216202 bytes, 66 inodes, blocksize: 524288 bytes, created: 2018-05-14 06:30:43

